advertiser,campaign,device_type,frequency_buckets,users_in_bucket,impressions,total_cost,conversions,purchases,total_purchases,product_sales,total_product_sales,roas_totalproductsales,roas_productsales,conversion_rate_total_purchases,conversion_rate_purchases,conversion_rate_impressions_total_purchases,conversion_rate_impressions_purchases,clicks,time_window_start,time_window_end
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Conversion_ROAS,Phone,Freq 21 to 25,372,8408,58.95865,3,2,3,25.86,29.35,0.5,0.44,0.81%,0.54%,0.04%,0.02%,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Awareness_CTR_FireTV_Pen,TV,Freq 16 to 20,171,3045,88.38396,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,Unknown,Freq 06 to 10,2,16,0.04955,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,22,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Conversion_ROAS,PC,Freq 11 to 15,4897,61549,503.57512,42,24,42,387.47,624.45,1.24,0.77,0.86%,0.49%,0.07%,0.04%,22,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Phone,Freq 16 to 20,9635,171603,755.45719,22,10,22,121.67,289.75,0.38,0.16,0.23%,0.10%,0.01%,0.01%,362,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Tablet,Freq 26 to 30,158,4406,15.23385,,,,,,,,,,,,17,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,PC,Freq 06 to 10,3811,28042,143.62546,22,12,22,107.23,208.18,1.45,0.75,0.58%,0.31%,0.08%,0.04%,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,PC,Freq 16 to 20,46,811,4.61817,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,Tablet,Freq 06 to 10,1222,9372,39.26343,,,,,,,,,,,,9,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,Tablet,Freq 26 to 30,29,805,1.85905,,,,,,,,,,,,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Conversion_ROAS,Phone,Freq 26 to 30,472,13085,84.20316,3,0,3,0,9.35,0.11,0,0.64%,0.00%,0.02%,0.00%,11,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,Tablet,Freq 16 to 20,160,2839,6.31834,,,,,,,,,,,,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Kids,Tablet,Freq 11 to 15,380,4825,15.38674,,,,,,,,,,,,6,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,PC,Freq 21 to 25,144,3278,11.88933,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,Tablet,Freq 11 to 15,2,26,0.16132,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,PC,Freq 06 to 10,24030,179786,1470.54725,217,116,217,1647.63,3121.66,2.12,1.12,0.90%,0.48%,0.12%,0.06%,41,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,PC,Freq 06 to 10,5,39,0.12825,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR_AV_DO NOT BILL,Phone,Freq 31 to 35,2,100,0.28534,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Adults,TV,Freq 35+,2,92,0.25263,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,Phone,Freq 11 to 15,3008,37840,263.498,22,10,22,194.29,334.76,1.27,0.74,0.73%,0.33%,0.06%,0.03%,52,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Unknown,Freq 01 to 05,87,120,0.4263,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,PC,Freq 35+,2,75,0.10932,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,349,11503,,1,1,1,14.97,14.97,,,0.00286533,0.00286533,8.69E-05,8.69E-05,25,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,TV,Freq 06 to 10,8,50,0.12629,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,25,557,,,,,,,,,,,,,6,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,1,54,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,PC,Freq 35+,10,516,3.41614,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,Phone,Freq 21 to 25,887,20257,75.98178,,,,,,,,,,,,62,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Unknown,Freq 06 to 10,6,46,0.16828,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,PC,Freq 06 to 10,4410,31403,112.25856,20,12,20,175.94,240.24,2.14,1.57,0.45%,0.27%,0.06%,0.04%,28,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,PC,Freq 21 to 25,35,798,2.03984,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,27,889,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,PC,Freq 01 to 05,128776,187108,1167.9167,289,140,289,2010.05,3765.88,3.22,1.72,0.22%,0.11%,0.15%,0.07%,33,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Conversion_ROAS,PC,Freq 31 to 35,594,19577,90.79622,9,4,9,201.99,261.45,2.88,2.22,1.52%,0.67%,0.05%,0.02%,13,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Consideration_DPVR,Tablet,Freq 31 to 35,27,878,2.00497,,,,,,,,,,,,3,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,PC,Freq 11 to 15,1870,23825,108.3958,16,10,16,175.79,255.81,2.36,1.62,0.86%,0.53%,0.07%,0.04%,8,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,1,6,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Tablet,Freq 11 to 15,2783,35668,116.94565,6,3,6,56.1,125.85,1.08,0.48,0.22%,0.11%,0.02%,0.01%,123,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1333,30297,,1,0,1,0,14.49,,,7.50E-04,0,3.30E-05,0,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,518,48457,,1,1,1,7.96,7.96,,,0.001930502,0.001930502,2.06E-05,2.06E-05,165,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Tablet,Freq 01 to 05,27679,54089,218.68632,52,15,52,182.11,773.81,3.54,0.83,0.19%,0.05%,0.10%,0.03%,171,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR,PC,Freq 06 to 10,1050,7506,38.6053,10,5,10,60.49,142.4,3.69,1.57,0.95%,0.48%,0.13%,0.07%,3,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Tablet,Freq 21 to 25,224,5108,17.70257,,,,,,,,,,,,14,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,Phone,Freq 01 to 05,1619647,2062982,14944.25368,3677,1445,3677,15907.03,39133.23,2.62,1.06,0.23%,0.09%,0.18%,0.07%,2619,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-029_2021_Demobrand_1_Hum CRM Test_Conversion_ROAS,Tablet,Freq 16 to 20,4,66,0.08264,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,289,2028,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Conversion_ROAS,Tablet,Freq 21 to 25,59,1348,2.47414,,,,,,,,,,,,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Unknown,Freq 11 to 15,13,161,0.62274,,,,,,,,,,,,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Adults,TV,Freq 11 to 15,6,74,0.26048,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,Phone,Freq 01 to 05,124384,232044,1963.97857,815,462,815,8500.35,12855.08,6.55,4.33,0.66%,0.37%,0.35%,0.20%,302,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Conversion_ROAS,PC,Freq 26 to 30,4032,112460,504.86498,38,16,38,231.94,565.74,1.12,0.46,0.94%,0.40%,0.03%,0.01%,38,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Conversion_ROAS,Phone,Freq 35+,7737,555415,2480.93113,76,40,76,422.93,660.31,0.27,0.17,0.98%,0.52%,0.01%,0.01%,837,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,Phone,Freq 35+,301,16996,49.2814,,,,,,,,,,,,37,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Phone,Freq 06 to 10,11047,82014,462.94311,107,48,107,684.32,1302.66,2.81,1.48,0.97%,0.43%,0.13%,0.06%,119,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,22,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,Phone,Freq 16 to 20,8512,150017,1185.60998,57,31,57,443.25,1107.73,0.93,0.37,0.67%,0.36%,0.04%,0.02%,216,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,Tablet,Freq 16 to 20,83,1459,4.43707,,,,,,,,,,,,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,TV,Freq 06 to 10,9,71,0.31115,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Conversion_ROAS,PC,Freq 21 to 25,1207,27582,156.73977,8,6,8,87.13,102.95,0.66,0.56,0.66%,0.50%,0.03%,0.02%,7,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Consideration_DPVR,Phone,Freq 16 to 20,1049,18712,76.34518,2,1,2,8.98,13.47,0.18,0.12,0.19%,0.10%,0.01%,0.01%,86,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Adults,Phone,Freq 35+,5691,587201,2280.03588,51,34,51,463.76,724.61,0.32,0.2,0.90%,0.60%,0.01%,0.01%,838,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,Phone,Freq 06 to 10,8523,60473,385.34512,27,8,27,42.83,286.14,0.74,0.11,0.32%,0.09%,0.04%,0.01%,92,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Awareness_CTR_FireTV_Pen,TV,Freq 11 to 15,554,6922,199.7474,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Conversion_ROAS,Phone,Freq 16 to 20,934,16457,125.01217,7,2,7,64.99,100.06,0.8,0.52,0.75%,0.21%,0.04%,0.01%,24,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,PC,Freq 26 to 30,16,440,2.49177,2,0,2,0,12.51,5.02,0,12.50%,0.00%,0.45%,0.00%,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,Phone,Freq 35+,1893,161255,609.91631,2,2,2,30.93,30.93,0.05,0.05,0.11%,0.11%,0.00%,0.00%,264,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,23,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,Tablet,Freq 06 to 10,755,5505,26.92236,,,,,,,,,,,,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Phone,Freq 16 to 20,4023,71293,474.1181,55,18,55,102.8,442.06,0.93,0.22,1.37%,0.45%,0.08%,0.03%,186,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Personal Care,Phone,Freq 21 to 25,678,15440,80.36995,4,2,4,31.98,56.84,0.71,0.4,0.59%,0.29%,0.03%,0.01%,27,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Conversion_ROAS,Phone,Freq 31 to 35,252,8246,52.96125,2,1,2,8.46,14.45,0.27,0.16,0.79%,0.40%,0.02%,0.01%,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR,Phone,Freq 11 to 15,13105,165769,534.95652,9,6,9,63.62,99.04,0.19,0.12,0.07%,0.05%,0.01%,0.00%,416,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Conversion_ROAS,Phone,Freq 11 to 15,33357,421239,3545.59955,436,255,436,2852.42,4411.28,1.24,0.8,1.31%,0.76%,0.10%,0.06%,776,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,TV,Freq 11 to 15,3,37,0.22624,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Phone,Freq 21 to 25,227,5196,19.18369,,,,,,,,,,,,12,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR_AV_DO NOT BILL,PC,Freq 06 to 10,11,71,0.2556,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,1,6,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,22,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,PC,Freq 21 to 25,19,441,2.43514,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 11 to 15,456,5693,,1,1,1,12.33,12.33,,,0.002192982,0.002192982,1.76E-04,1.76E-04,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Phone,Freq 01 to 05,137524,249746,1799.41124,1207,535,1207,6821.94,14272.89,7.93,3.79,0.88%,0.39%,0.48%,0.21%,337,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Phone,Freq 11 to 15,9425,119105,843.16383,126,38,126,266.77,1193.11,1.42,0.32,1.34%,0.40%,0.11%,0.03%,252,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Conversion_ROAS,TV,Freq 01 to 05,3,4,0.03182,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,1,17,,2,2,2,25.98,25.98,,,2,2,0.117647059,0.117647059,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Phone,Freq 35+,3282,416691,1323.43025,12,1,12,4.99,152.82,0.12,0,0.37%,0.03%,0.00%,0.00%,1870,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,1,20,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 11 to 15,1,12,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,PC,Freq 06 to 10,8944,67540,301.86325,69,28,69,307.29,819.17,2.71,1.02,0.77%,0.31%,0.10%,0.04%,20,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,Tablet,Freq 31 to 35,19,626,3.16236,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,Phone,Freq 26 to 30,97,2701,18.62298,,,,,,,,,,,,3,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Tablet,Freq 26 to 30,64,1791,5.27299,,,,,,,,,,,,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,PC,Freq 01 to 05,449636,603882,4124.24845,1728,461,1728,3479.09,18378.74,4.46,0.84,0.38%,0.10%,0.29%,0.08%,147,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,362,438,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,Tablet,Freq 01 to 05,10890,20284,64.8303,9,6,9,49.38,71.34,1.1,0.76,0.08%,0.06%,0.04%,0.03%,67,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Tablet,Freq 16 to 20,378,6689,25.13288,,,,,,,,,,,,15,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,PC,Freq 26 to 30,73,2004,6.12202,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,18,893,,,,,,,,,,,,,3,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,5,236,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1272,29017,,16,8,16,74.56,147.51,,,0.012578616,0.006289308,5.51E-04,2.76E-04,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Tablet,Freq 01 to 05,7216,15464,63.02346,24,8,24,40.46,195.14,3.1,0.64,0.33%,0.11%,0.16%,0.05%,23,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,37,279,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Tablet,Freq 21 to 25,51,1160,2.66809,,,,,,,,,,,,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Phone,Freq 31 to 35,2986,97990,417.57116,8,6,8,83.62,112.6,0.27,0.2,0.27%,0.20%,0.01%,0.01%,236,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,Phone,Freq 16 to 20,400,7109,29.47704,6,5,6,51.63,56.62,1.92,1.75,1.50%,1.25%,0.08%,0.07%,23,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,TV,Freq 06 to 10,3,21,0.04059,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,366,2759,,3,1,3,8.52,36.99,,,0.008196721,0.00273224,0.00108735,3.62E-04,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,TV,Freq 21 to 25,3,67,0.43954,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,1,31,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,TV,Freq 01 to 05,46,69,0.13145,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
